City,Province,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Thunder Bay, Ontario,508,536,560,581,615,636,656,676,676,690,681,665,665,673,668,673,686,695,704,711,726,731,755,772,787,836,875,904,931,950,962,1050,1093,1109
Toronto, Ontario,567,599,642,683,725,749,770,782,803,817,819,879,911,982,1029,1045,1042,1052,1050,1065,1057,1093,1089,1118,1148,1180,1210,1249,1283,1326,1400,1468,1562,1636
Windsor, Ontario,523,528,553,618,628,646,658,666,692,702,701,705,721,764,772,798,811,806,809,806,802,800,773,785,780,806,816,827,851,884,898,950,986,1083
Brandon, Manitoba,457,465,481,490,501,508,522,521,530,538,543,537,545,553,562,567,580,588,602,613,623,638,670,690,707,752,F,815,840,857,866,876,918,957
Winnipeg, Manitoba,487,504,523,534,543,556,561,562,564,569,571,577,584,591,608,624,648,667,686,712,744,771,812,840,877,914,971,1020,1048,1073,1110,1184,1228,1266
Prince Albert, Saskatchewan,410,412,410,417,423,427,424,429,436,445,452,458,471,485,497,495,512,524,526,531,566,617,707,739,798,833,858,897,910,878,895,894,899,902
Regina, Saskatchewan,476,481,484,486,486,487,491,489,490,497,516,529,550,552,572,584,592,605,611,622,666,760,837,886,937,983,1022,1083,1102,1114,1121,1136,1134,1158
Saskatoon, Saskatchewan,440,441,441,438,444,444,450,453,460,480,501,517,529,542,558,567,576,581,585,609,694,843,907,936,967,1004,1043,1094,1089,1102,1084,1112,1131,1168
Calgary, Alberta,502,515,555,595,608,607,593,594,592,606,647,722,753,753,799,820,818,818,821,980,1116,1172,1119,1093,1108,1173,1247,1349,1355,1279,1267,1293,1327,1344
Edmonton, Alberta,459,463,477,515,534,544,544,524,519,518,525,552,576,601,654,709,722,730,732,808,958,1035,1016,1015,1034,1072,1141,1228,1260,1230,1215,1247,1258,1273
Grande Prairie, Alberta,461,468,480,502,516,509,508,531,584,592,614,649,632,645,692,719,730,766,791,955,1090,988,912,842,891,1004,1124,1156,1195,1022,1010,1120,1180,F
High River, Alberta,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,814,831,810,837,843,873,992,945,906,931,952,967,980
