ID,DT_Dec,Year_Dec,Month_Dec,Day_Dec,DEC,Flag_Approved,Channel,Age,State,Income,Spend @M4,
6700,10/12/2022,2022,12,10,A,1,ONLINE,37,San Luis Potosi, 970 , 396 ,
6701,13/12/2022,2022,12,13,A,1,TMK,35,Aguascalientes," 1,758 "," 1,082 ",
6702,20/12/2022,2022,12,20,A,1,TMK,71,," 1,818 "," 3,703 ",
6703,02/12/2022,2022,12,2,A,1,ONLINE,35,," 4,848 "," 11,102 ",
6704,10/12/2022,2022,12,10,A,1,ONLINE,50,Quintana Roo," 2,121 ", 131 ,
6705,20/12/2022,2022,12,20,A,1,TMK,58,Guanajuato," 3,030 ", 287 ,
6706,02/12/2022,2022,12,2,A,1,ONLINE,47,," 60,606 "," 1,791 ",
6707,09/12/2022,2022,12,9,A,1,ONLINE,51,Veracruz de Ignacio de la Llave," 3,030 "," 2,501 ",
6708,10/12/2022,2022,12,10,A,1,ONLINE,40,Baja California," 1,818 "," 9,141 ",
6709,13/12/2022,2022,12,13,A,1,ONLINE,36,Estado de Mexico," 2,242 "," 2,073 ",
6710,09/12/2022,2022,12,9,A,1,ONLINE,55,Estado de Mexico," 1,818 ", 646 ,
6711,13/12/2022,2022,12,13,A,1,TMK,41,Tamaulipas," 15,152 ", 649 ,
6712,02/12/2022,2022,12,2,A,1,TMK,63,Estado de Mexico," 3,030 "," 9,242 ",
6713,13/12/2022,2022,12,13,A,1,TMK,38,Ciudad de Mexico," 3,333 "," 3,054 ",
6714,02/12/2022,2022,12,2,A,1,TMK,34,Estado de Mexico, 970 , 948 ,
6715,09/12/2022,2022,12,9,A,1,TMK,49,Tamaulipas," 2,424 "," 1,146 ",
6716,13/12/2022,2022,12,13,A,1,ONLINE,39,Jalisco," 2,424 "," 9,957 ",
6717,20/12/2022,2022,12,20,A,1,TMK,48,Puebla," 1,515 ", 604 ,
6718,02/12/2022,2022,12,2,A,1,TMK,34,Chihuahua," 1,818 ", 614 ,
6719,20/12/2022,2022,12,20,A,1,TMK,34,Ciudad de Mexico," 5,152 "," 2,044 ",
