Area,Province,ER_Name_Nom_RE,Low_Wage_Salaire_Minium,Median_Wage_Salaire_Median,High_Wage_Salaire_Maximal,Revision_Date_Date_revision
Senior government managers and officials,NS,North Shore,,,,2019-11-04
Senior government managers and officials,NS,Annapolis Valley,,,,2019-11-04
Senior government managers and officials,NS,Southern,,,,2019-11-04
Senior government managers and officials,NS,Halifax,,,,2019-11-04
Senior government managers and officials,NB,New Brunswick,18.71,45.6,83.17,2019-11-04
Senior government managers and officials,NB,Campbellton--Miramichi,,,,2019-11-04
Senior government managers and officials,NB,Moncton--Richibucto,,,,2019-11-04
Senior government managers and officials,NB,Saint John--St. Stephen,,,,2019-11-04
Senior government managers and officials,NB,Fredericton--Oromocto,,,,2019-11-04
Senior government managers and officials,NB,Edmundston--Woodstock,,,,2019-11-04
Senior government managers and officials,QC,Québec,24.64,34.07,67.31,2019-11-04
Senior government managers and officials,QC,Gaspésie--Îles-de-la-Madeleine,,,,2019-11-04
Senior government managers and officials,QC,Bas-Saint-Laurent,,,,2019-11-04
Senior government managers and officials,QC,Capitale-Nationale,,,,2019-11-04
Senior government managers and officials,QC,Chaudière-Appalaches,21.43,34.15,43.14,2019-11-04
Senior government managers and officials,QC,Estrie,,,,2019-11-04
Senior government managers and officials,QC,Centre-du-Québec,,,,2019-11-04
Senior government managers and officials,QC,Montérégie,24.64,34.07,67.31,2019-11-04
Senior government managers and officials,QC,Montréal,,,,2019-11-04
Senior government managers and officials,QC,Laval,,,,2019-11-04
Senior government managers and officials,QC,Lanaudière,,,,2019-11-04
Senior government managers and officials,QC,Laurentides,,,,2019-11-04
Senior government managers and officials,QC,Outaouais,23.63,35.36,72,2019-11-04
Senior government managers and officials,QC,Abitibi-Témiscamingue,,,,2019-11-04
Senior government managers and officials,QC,Mauricie,,,,2019-11-04
Senior government managers and officials,QC,Saguenay--Lac-Saint-Jean,24.64,34.07,67.31,2019-11-04
Senior government managers and officials,QC,Côte-Nord,,,,2019-11-04
Senior government managers and officials,QC,Nord-du-Québec,,,,2019-11-04
Senior government managers and officials,ON,Ontario,28.76,57.98,101.73,2019-11-04
Senior government managers and officials,ON,Ottawa,,,,2019-11-04
Senior government managers and officials,ON,Kingston--Pembroke,,,,2019-11-04
Senior government managers and officials,ON,Muskoka--Kawarthas,,,,2019-11-04
Senior government managers and officials,ON,Toronto,,,,2019-11-04
Senior government managers and officials,ON,Kitchener--Waterloo--Barrie,,,,2019-11-04
Senior government managers and officials,ON,Hamilton--Niagara Peninsula,,,,2019-11-04
Senior government managers and officials,ON,London,,,,2019-11-04
Senior government managers and officials,ON,Windsor--Sarnia,,,,2019-11-04
Senior government managers and officials,ON,Stratford--Bruce Peninsula,,,,2019-11-04
Senior government managers and officials,ON,Northeast,,,,2019-11-04
Senior government managers and officials,ON,Northwest,,,,2019-11-04
Senior government managers and officials,MB,Manitoba,19.9,46.33,75.96,2019-11-04
Senior government managers and officials,MB,Southeast,,,,2019-11-04
Senior government managers and officials,MB,South Central,,,,2019-11-04
Senior government managers and officials,MB,Southwest,,,,2019-11-04
Senior government managers and officials,MB,North Central,,,,2019-11-04
Senior government managers and officials,MB,Winnipeg,30.4,51.02,78.04,2019-11-04
Senior government managers and officials,MB,Interlake,,,,2019-11-04
Senior government managers and officials,MB,Parklands,,,,2019-11-04
Senior government managers and officials,MB,North,,,,2019-11-04
Senior government managers and officials,SK,Saskatchewan,23,37.69,61.81,2019-11-04
Senior government managers and officials,SK,Regina--Moose Mountain,23,39.9,76.92,2019-11-04
Senior government managers and officials,SK,Swift Current--Moose Jaw,26,41.54,52.88,2019-11-04
Senior government managers and officials,SK,Saskatoon--Biggar,23,37.69,61.81,2019-11-04
Senior government managers and officials,SK,Yorkton--Melville,,,,2019-11-04
Senior government managers and officials,SK,Prince Albert,,,,2019-11-04
Senior government managers and officials,SK,Northern,,,,2019-11-04
Senior government managers and officials,AB,Alberta,38.46,57.69,89.38,2019-11-04
Senior government managers and officials,AB,Lethbridge--Medicine Hat,,,,2019-11-04
Senior government managers and officials,AB,Camrose--Drumheller,,,,2019-11-04
Senior government managers and officials,AB,Calgary,38.46,57.69,89.38,2019-11-04
Senior government managers and officials,AB,Banff--Jasper--Rocky Mountain House,,,,2019-11-04
Senior government managers and officials,AB,Red Deer,,,,2019-11-04
Senior government managers and officials,AB,Edmonton,,,,2019-11-04
Senior government managers and officials,AB,Athabasca--Grande Prairie--Peace River,38.46,57.69,89.38,2019-11-04
Senior government managers and officials,AB,Wood Buffalo--Cold Lake,,,,2019-11-04
Senior government managers and officials,BC,British Columbia,,,,2019-11-04
Senior government managers and officials,BC,Vancouver Island and Coast,,,,2019-11-04
Senior government managers and officials,BC,Lower Mainland,,,,2019-11-04
Senior government managers and officials,BC,Thompson--Okanagan,,,,2019-11-04
Senior government managers and officials,BC,Kootenay,,,,2019-11-04
Senior government managers and officials,BC,Cariboo,,,,2019-11-04
Senior government managers and officials,BC,North Coast,,,,2019-11-04
Senior government managers and officials,BC,Nechako,,,,2019-11-04
Senior government managers and officials,BC,Northeast,,,,2019-11-04
Senior government managers and officials,YK,Yukon Territory,,,,2019-11-04
Senior government managers and officials,NW,Northwest Territories,,,,2019-11-04
Senior government managers and officials,NU,Nunavut,,,,2019-11-04
"Senior managers - financial, communications and other business services",NA,National,25.48,53.08,89.6,2019-11-04
"Senior managers - financial, communications and other business services",NL,Newfoundland and Labrador,20,38.46,76.92,2019-11-04
"Senior managers - financial, communications and other business services",NL,Avalon Peninsula,,,,2019-11-04
"Senior managers - financial, communications and other business services",NL,South Coast--Burin Peninsula,,,,2019-11-04
"Senior managers - financial, communications and other business services",NL,West Coast--Northern Peninsula--Labrador,,,,2019-11-04
"Senior managers - financial, communications and other business services",NL,Notre Dame--Central Bonavista Bay,,,,2019-11-04
"Senior managers - financial, communications and other business services",PE,Prince Edward Island,,,,2019-11-04
"Senior managers - financial, communications and other business services",NS,Nova Scotia,20,40.87,79.49,2019-11-04
"Senior managers - financial, communications and other business services",NS,Cape Breton,,,,2019-11-04
"Senior managers - financial, communications and other business services",NS,North Shore,20,40.87,79.49,2019-11-04
"Senior managers - financial, communications and other business services",NS,Annapolis Valley,,,,2019-11-04
"Senior managers - financial, communications and other business services",NS,Southern,,,,2019-11-04
"Senior managers - financial, communications and other business services",NS,Halifax,20,40.87,79.49,2019-11-04
"Senior managers - financial, communications and other business services",NB,New Brunswick,21.15,38.46,63.87,2019-11-04
"Senior managers - financial, communications and other business services",NB,Campbellton--Miramichi,,,,2019-11-04
"Senior managers - financial, communications and other business services",NB,Moncton--Richibucto,21.15,38.46,63.87,2019-11-04
"Senior managers - financial, communications and other business services",NB,Saint John--St. Stephen,,,,2019-11-04
"Senior managers - financial, communications and other business services",NB,Fredericton--Oromocto,21.15,38.46,63.87,2019-11-04
"Senior managers - financial, communications and other business services",NB,Edmundston--Woodstock,,,,2019-11-04
"Senior managers - financial, communications and other business services",QC,Québec,29.33,45,73.08,2019-11-04
"Senior managers - financial, communications and other business services",QC,Gaspésie--Îles-de-la-Madeleine,,,,2019-11-04
"Senior managers - financial, communications and other business services",QC,Bas-Saint-Laurent,,,,2019-11-04
"Senior managers - financial, communications and other business services",QC,Capitale-Nationale,,,,2019-11-04
"Senior managers - financial, communications and other business services",QC,Chaudière-Appalaches,,,,2019-11-04
"Senior managers - financial, communications and other business services",QC,Estrie,,,,2019-11-04
"Senior managers - financial, communications and other business services",QC,Centre-du-Québec,,,,2019-11-04
"Senior managers - financial, communications and other business services",QC,Montérégie,29.33,45,73.08,2019-11-04
"Senior managers - financial, communications and other business services",QC,Montréal,,,,2019-11-04
"Senior managers - financial, communications and other business services",QC,Laval,29.33,45,73.08,2019-11-04
"Senior managers - financial, communications and other business services",QC,Lanaudière,29.33,45,73.08,2019-11-04
"Senior managers - financial, communications and other business services",QC,Laurentides,,,,2019-11-04
"Senior managers - financial, communications and other business services",QC,Outaouais,29.33,45,73.08,2019-11-04
"Senior managers - financial, communications and other business services",QC,Abitibi-Témiscamingue,,,,2019-11-04
"Senior managers - financial, communications and other business services",QC,Mauricie,,,,2019-11-04
"Senior managers - financial, communications and other business services",QC,Saguenay--Lac-Saint-Jean,,,,2019-11-04
"Senior managers - financial, communications and other business services",QC,Côte-Nord,,,,2019-11-04
"Senior managers - financial, communications and other business services",QC,Nord-du-Québec,,,,2019-11-04
"Senior managers - financial, communications and other business services",ON,Ontario,25.96,53.37,89.74,2019-11-04
"Senior managers - financial, communications and other business services",ON,Ottawa,25.96,53.37,89.74,2019-11-04
"Senior managers - financial, communications and other business services",ON,Kingston--Pembroke,,,,2019-11-04
"Senior managers - financial, communications and other business services",ON,Muskoka--Kawarthas,,,,2019-11-04
"Senior managers - financial, communications and other business services",ON,Toronto,26.54,52.08,86.54,2019-11-04
"Senior managers - financial, communications and other business services",ON,Kitchener--Waterloo--Barrie,20,53.42,96.15,2019-11-04
"Senior managers - financial, communications and other business services",ON,Hamilton--Niagara Peninsula,21.25,50.48,87.91,2019-11-04
"Senior managers - financial, communications and other business services",ON,London,,,,2019-11-04
"Senior managers - financial, communications and other business services",ON,Windsor--Sarnia,,,,2019-11-04
"Senior managers - financial, communications and other business services",ON,Stratford--Bruce Peninsula,,,,2019-11-04
"Senior managers - financial, communications and other business services",ON,Northeast,14.99,50,87.91,2019-11-04
"Senior managers - financial, communications and other business services",ON,Northwest,,,,2019-11-04
"Senior managers - financial, communications and other business services",MB,Manitoba,23.08,41.25,84.13,2019-11-04
"Senior managers - financial, communications and other business services",MB,Southeast,23.08,41.25,84.13,2019-11-04
"Senior managers - financial, communications and other business services",MB,South Central,,,,2019-11-04
"Senior managers - financial, communications and other business services",MB,Southwest,,,,2019-11-04
"Senior managers - financial, communications and other business services",MB,North Central,23.08,41.25,84.13,2019-11-04
"Senior managers - financial, communications and other business services",MB,Winnipeg,22.5,41.25,84.13,2019-11-04
"Senior managers - financial, communications and other business services",MB,Interlake,,,,2019-11-04
"Senior managers - financial, communications and other business services",MB,Parklands,,,,2019-11-04
"Senior managers - financial, communications and other business services",MB,North,,,,2019-11-04
"Senior managers - financial, communications and other business services",SK,Saskatchewan,30.97,53.33,86.05,2019-11-04
"Senior managers - financial, communications and other business services",SK,Regina--Moose Mountain,25,51.92,85.58,2019-11-04
"Senior managers - financial, communications and other business services",SK,Swift Current--Moose Jaw,,,,2019-11-04
"Senior managers - financial, communications and other business services",SK,Saskatoon--Biggar,30.97,53.33,86.05,2019-11-04
"Senior managers - financial, communications and other business services",SK,Yorkton--Melville,,,,2019-11-04
"Senior managers - financial, communications and other business services",SK,Prince Albert,,,,2019-11-04
"Senior managers - financial, communications and other business services",SK,Northern,,,,2019-11-04
"Senior managers - financial, communications and other business services",AB,Alberta,21,54.7,91.35,2019-11-04
"Senior managers - financial, communications and other business services",AB,Lethbridge--Medicine Hat,21,54.7,91.35,2019-11-04
"Senior managers - financial, communications and other business services",AB,Camrose--Drumheller,,,,2019-11-04
"Senior managers - financial, communications and other business services",AB,Calgary,25.14,53.85,96.15,2019-11-04
"Senior managers - financial, communications and other business services",AB,Banff--Jasper--Rocky Mountain House,,,,2019-11-04
"Senior managers - financial, communications and other business services",AB,Red Deer,,,,2019-11-04
"Senior managers - financial, communications and other business services",AB,Edmonton,,,,2019-11-04
"Senior managers - financial, communications and other business services",AB,Athabasca--Grande Prairie--Peace River,21,54.7,91.35,2019-11-04
"Senior managers - financial, communications and other business services",AB,Wood Buffalo--Cold Lake,,,,2019-11-04
"Senior managers - financial, communications and other business services",BC,British Columbia,13.85,57.62,170.07,2019-11-04
"Senior managers - financial, communications and other business services",BC,Vancouver Island and Coast,13.85,56.5,132.52,2019-11-04
"Senior managers - financial, communications and other business services",BC,Lower Mainland,13.85,59.64,187.98,2019-11-04
"Senior managers - financial, communications and other business services",BC,Thompson--Okanagan,14.6,58.52,106.36,2019-11-04
"Senior managers - financial, communications and other business services",BC,Kootenay,,,,2019-11-04
"Senior managers - financial, communications and other business services",BC,Cariboo,,,,2019-11-04
"Senior managers - financial, communications and other business services",BC,North Coast,,,,2019-11-04
"Senior managers - financial, communications and other business services",BC,Nechako,,,,2019-11-04
"Senior managers - financial, communications and other business services",BC,Northeast,,,,2019-11-04
"Senior managers - financial, communications and other business services",YK,Yukon Territory,,,,2019-11-04
"Senior managers - financial, communications and other business services",NW,Northwest Territories,,,,2019-11-04
"Senior managers - financial, communications and other business services",NU,Nunavut,,,,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",NA,National,19.98,43.24,93.45,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",NL,Newfoundland and Labrador,22.35,41.9,81.91,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",NL,Avalon Peninsula,25.23,47.38,81.75,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",NL,South Coast--Burin Peninsula,,,,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",NL,West Coast--Northern Peninsula--Labrador,,,,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",NL,Notre Dame--Central Bonavista Bay,,,,2019-11-04
